"date","Year","Month","Day","value"
1961-01-01,1961,1,1,194
1961-01-02,1961,1,2,218
1961-01-03,1961,1,3,190
1961-01-04,1961,1,4,202
1961-01-05,1961,1,5,209
1961-01-06,1961,1,6,202
1961-01-07,1961,1,7,205
1961-01-08,1961,1,8,210
1961-01-09,1961,1,9,205
1961-01-10,1961,1,10,201
1961-01-11,1961,1,11,199
1961-01-12,1961,1,12,205
1961-01-13,1961,1,13,202
1961-01-14,1961,1,14,205
1961-01-15,1961,1,15,201
1961-01-16,1961,1,16,200
1961-01-17,1961,1,17,199
1961-01-18,1961,1,18,192
1961-01-19,1961,1,19,197
1961-01-20,1961,1,20,206
1961-01-21,1961,1,21,198
1961-01-22,1961,1,22,191
1961-01-23,1961,1,23,189
1961-01-24,1961,1,24,179
1961-01-25,1961,1,25,182
1961-01-26,1961,1,26,196
1961-01-27,1961,1,27,185
1961-01-28,1961,1,28,195
1961-01-29,1961,1,29,198
1961-01-30,1961,1,30,200
1961-01-31,1961,1,31,189
1961-02-01,1961,2,1,185
1961-02-02,1961,2,2,204
1961-02-03,1961,2,3,204
1961-02-04,1961,2,4,204
1961-02-05,1961,2,5,180
1961-02-06,1961,2,6,189
1961-02-07,1961,2,7,203
1961-02-08,1961,2,8,200
1961-02-09,1961,2,9,206
1961-02-10,1961,2,10,205
1961-02-11,1961,2,11,190
1961-02-12,1961,2,12,180
1961-02-13,1961,2,13,195
1961-02-14,1961,2,14,190
1961-02-15,1961,2,15,192
1961-02-16,1961,2,16,193
1961-02-17,1961,2,17,198
1961-02-18,1961,2,18,202
1961-02-19,1961,2,19,189
1961-02-20,1961,2,20,193
1961-02-21,1961,2,21,186
1961-02-22,1961,2,22,201
1961-02-23,1961,2,23,203
1961-02-24,1961,2,24,203
1961-02-25,1961,2,25,191
1961-02-26,1961,2,26,215
1961-02-27,1961,2,27,209
1961-02-28,1961,2,28,209
1961-03-01,1961,3,1,210
1961-03-02,1961,3,2,207
1961-03-03,1961,3,3,204
1961-03-04,1961,3,4,205
1961-03-05,1961,3,5,203
1961-03-06,1961,3,6,207
1961-03-07,1961,3,7,212
1961-03-08,1961,3,8,208
1961-03-09,1961,3,9,201
1961-03-10,1961,3,10,218
1961-03-11,1961,3,11,215
1961-03-12,1961,3,12,197
1961-03-13,1961,3,13,192
1961-03-14,1961,3,14,168
1961-03-15,1961,3,15,194
1961-03-16,1961,3,16,214
1961-03-17,1961,3,17,215
1961-03-18,1961,3,18,222
1961-03-19,1961,3,19,216
1961-03-20,1961,3,20,205
1961-03-21,1961,3,21,195
1961-03-22,1961,3,22,209
1961-03-23,1961,3,23,207
1961-03-24,1961,3,24,219
1961-03-25,1961,3,25,211
1961-03-26,1961,3,26,204
1961-03-27,1961,3,27,220
1961-03-28,1961,3,28,208
1961-03-29,1961,3,29,227
1961-03-30,1961,3,30,210
1961-03-31,1961,3,31,195
1961-04-01,1961,4,1,189
1961-04-02,1961,4,2,198
1961-04-03,1961,4,3,198
1961-04-04,1961,4,4,190
1961-04-05,1961,4,5,198
1961-04-06,1961,4,6,205
1961-04-07,1961,4,7,227
1961-04-08,1961,4,8,207
1961-04-09,1961,4,9,199
1961-04-10,1961,4,10,205
1961-04-11,1961,4,11,221
1961-04-12,1961,4,12,212
1961-04-13,1961,4,13,205
1961-04-14,1961,4,14,202
1961-04-15,1961,4,15,220
1961-04-16,1961,4,16,214
1961-04-17,1961,4,17,217
1961-04-18,1961,4,18,205
1961-04-19,1961,4,19,202
1961-04-20,1961,4,20,195
1961-04-21,1961,4,21,210
1961-04-22,1961,4,22,218
1961-04-23,1961,4,23,210
1961-04-24,1961,4,24,208
1961-04-25,1961,4,25,208
1961-04-26,1961,4,26,228
1961-04-27,1961,4,27,215
1961-04-28,1961,4,28,200
